date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rating,away_rating,long,lat
2016-09-06,Thailand,Japan,0.0,2.0,FIFA World Cup qualification,Bangkok,Thailand,False,1409,1761,13.7524938,100.4935089
2016-09-06,United Arab Emirates,Australia,0.0,1.0,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,1629,1716,24.4538352,54.3774014
2016-09-06,Uruguay,Paraguay,4.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False,1966,1747,-34.9058916,-56.1913095
2016-09-06,United States,Trinidad and Tobago,4.0,0.0,FIFA World Cup qualification,Jacksonville,United States,False,1752,1580,30.3321838,-81.655651
2016-09-06,Venezuela,Argentina,2.0,2.0,FIFA World Cup qualification,Mérida,Venezuela,False,1609,2050,38.9174665,-6.3443977
2016-10-06,Austria,Wales,2.0,2.0,FIFA World Cup qualification,Vienna,Austria,False,1791,1664,48.2083537,16.3725042
2016-10-06,Brazil,Bolivia,5.0,0.0,FIFA World Cup qualification,Natal,Brazil,False,2022,1605,-5.805398,-35.2080905
2016-10-06,Ecuador,Chile,3.0,0.0,FIFA World Cup qualification,Quito,Ecuador,False,1873,1938,-0.2201641,-78.5123274
2016-10-06,Italy,Spain,1.0,1.0,FIFA World Cup qualification,Turin,Italy,False,1872,2013,45.0677551,7.6824892
2016-10-06,Japan,Iraq,2.0,1.0,FIFA World Cup qualification,Saitama,Japan,False,1761,1499,35.9754168,139.4160114
2016-10-06,South Korea,Qatar,3.0,2.0,FIFA World Cup qualification,Suwon,South Korea,False,1783,1537,37.2633325,127.0287472
2016-10-06,Kosovo,Croatia,0.0,6.0,FIFA World Cup qualification,Shkodër,Albania,True,1390,1818,42.0681371,19.5121437
2016-10-06,Moldova,Serbia,0.0,3.0,FIFA World Cup qualification,Chișinău,Moldova,False,1352,1724,47.0245117,28.8322923
2016-10-06,Peru,Argentina,2.0,2.0,FIFA World Cup qualification,Lima,Peru,False,1777,2050,-12.0621065,-77.0365256
2016-10-06,Saudi Arabia,Australia,2.0,2.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False,1525,1716,21.5810088,39.1653612
2016-10-06,Uruguay,Venezuela,3.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False,1966,1609,-34.9058916,-56.1913095
2016-10-06,Uzbekistan,Iran,0.0,1.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False,1661,1735,41.3123363,69.2787079
2016-10-07,Belgium,Bosnia and Herzegovina,4.0,0.0,FIFA World Cup qualification,Brussels,Belgium,False,1920,1742,50.8465573,4.351697
2016-10-07,France,Bulgaria,4.0,1.0,FIFA World Cup qualification,Saint-Denis,France,False,1971,1614,48.935773,2.3580232
2016-10-07,Ghana,Uganda,0.0,0.0,FIFA World Cup qualification,Tamale,Ghana,False,1638,1489,9.4051992,-0.8423986
2016-10-07,Hungary,Switzerland,2.0,3.0,FIFA World Cup qualification,Budapest,Hungary,False,1699,1771,47.4979937,19.0403594
2016-10-07,Netherlands,Belarus,4.0,1.0,FIFA World Cup qualification,Rotterdam,Netherlands,False,1911,1586,51.9244424,4.47775
